@id	db_name	ext_id	link
HMR_8574	Recon3D	RE0935C	https://identifiers.org/vmhreaction:RE0935C
HMR_8574	MetaNetX	MNXR103491	https://identifiers.org/metanetx.reaction:MNXR103491
HMR_8574	HMR 2.0	HMR_8574	
HMR_8574	Ratcon	RCR11040	
HMR_8575	EHMN	RE0935	
HMR_8575	Recon3D	HMR_8575	https://identifiers.org/vmhreaction:HMR_8575
HMR_8575	Recon3D	RE0935E	https://identifiers.org/vmhreaction:RE0935E
HMR_8575	MetaNetX	MNXR101622	https://identifiers.org/metanetx.reaction:MNXR101622
HMR_8575	HMR 2.0	HMR_8575	
HMR_8575	Ratcon	RCR30250	
HMR_8576	EHMN	RE0926	
HMR_8576	Recon3D	HMR_8576	https://identifiers.org/vmhreaction:HMR_8576
HMR_8576	Recon3D	RE0926C	https://identifiers.org/vmhreaction:RE0926C
HMR_8576	MetaNetX	MNXR103488	https://identifiers.org/metanetx.reaction:MNXR103488
HMR_8576	HMR 2.0	HMR_8576	
HMR_8576	Ratcon	RCR11041	
HMR_8577	EHMN	RE0926	
HMR_8577	Recon3D	HMR_8577	https://identifiers.org/vmhreaction:HMR_8577
HMR_8577	Recon3D	RE0926E	https://identifiers.org/vmhreaction:RE0926E
HMR_8577	MetaNetX	MNXR101621	https://identifiers.org/metanetx.reaction:MNXR101621
HMR_8577	HMR 2.0	HMR_8577	
HMR_8577	Ratcon	RCR30251	
HMR_8578	EHMN	RE0915	
HMR_8578	Recon3D	HMR_8578	https://identifiers.org/vmhreaction:HMR_8578
HMR_8578	Recon3D	RE0915C	https://identifiers.org/vmhreaction:RE0915C
HMR_8578	MetaNetX	MNXR103479	https://identifiers.org/metanetx.reaction:MNXR103479
HMR_8578	HMR 2.0	HMR_8578	
HMR_8578	Ratcon	RCR11042	
HMR_8579	EHMN	RE0915	
HMR_8579	Recon3D	HMR_8579	https://identifiers.org/vmhreaction:HMR_8579
HMR_8579	Recon3D	RE0915E	https://identifiers.org/vmhreaction:RE0915E
HMR_8579	MetaNetX	MNXR101620	https://identifiers.org/metanetx.reaction:MNXR101620
HMR_8579	HMR 2.0	HMR_8579	
HMR_8579	Ratcon	RCR30252	
HMR_8581	EHMN	RE0905	
HMR_8581	Recon3D	MLTG1e	https://identifiers.org/vmhreaction:MLTG1e
HMR_8581	HMR 2.0	HMR_8581	
HMR_8581	Ratcon	RCR30253	
HMR_8591	BiGG	MLTG1	https://identifiers.org/bigg.reaction:MLTG1
HMR_8591	Recon3D	MLTG1	https://identifiers.org/vmhreaction:MLTG1
HMR_8591	MetaNetX	MNXR101619	https://identifiers.org/metanetx.reaction:MNXR101619
HMR_8591	HMR 2.0	HMR_8591	
HMR_8591	Ratcon	RCR11043	
HMR_8592	BiGG	MLTG1ly	https://identifiers.org/bigg.reaction:MLTG1ly
HMR_8592	Recon3D	MLTG1ly	https://identifiers.org/vmhreaction:MLTG1ly
HMR_8592	MetaNetX	MNXR101619	https://identifiers.org/metanetx.reaction:MNXR101619
HMR_8592	HMR 2.0	HMR_8592	
HMR_8592	Ratcon	RCR10450	
HMR_8580	EHMN	RE0905	
HMR_8580	Recon3D	HMR_8580	https://identifiers.org/vmhreaction:HMR_8580
HMR_8580	HMR 2.0	HMR_8580	
HMR_8580	Ratcon	RCR11044	
HMR_8582	EHMN	RE0446	
HMR_8582	Recon3D	HMR_8582	https://identifiers.org/vmhreaction:HMR_8582
HMR_8582	HMR 2.0	HMR_8582	
HMR_8582	Ratcon	RCR10451	
HMR_8587	KEGG	R00028	https://identifiers.org/kegg.reaction:R00028
HMR_8587	BiGG	MALT	https://identifiers.org/bigg.reaction:MALT
HMR_8587	Recon3D	MALT	https://identifiers.org/vmhreaction:MALT
