# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
HMR_4014	EC:3.1.4.17	10441464; 11368177; 14604994; 17324123; 3007144
HMR_4020	EC:2.7.4.8	8663313
HMR_4022	EC:4.6.1.1; EC:4.6.1.2	11952099
HMR_4038	EC:3.5.4.10	8567683; 9332377
HMR_4040	EC:1.1.1.205	4371273
HMR_4042	EC:6.3.4.4	1592113
HMR_4046	EC:6.3.5.2	3436958; 6260205; 8089153
HMR_4048	EC:3.1.4.17; EC:3.1.4.35	14604994
HMR_4080	EC:3.5.4.17; EC:3.5.4.6	12482028; 7034783
HMR_4085	EC:2.4.2.7	6778226; 692402
HMR_4086	EC:2.4.2.7	6778226; 692402
HMR_4134	EC:3.6.1.5; EC:3.6.1.6; EC:3.6.1.42	8529670
HMR_4135	EC:2.7.4.8	8663313
HMR_4168	EC:3.6.1.19; EC:3.6.1.8	11278832; 4310599
HMR_4171	EC:2.7.1.40	1009117; 7154942
HMR_4290	EC:3.6.1.5	15652174; 16752921; 17095758
HMR_4406	EC:2.4.2.14	447621; 8380692
HMR_4412	EC:4.3.2.2	1872474
HMR_4417	EC:3.1.3.5	11690631; 7999131
HMR_4418	EC:2.4.2.8	16861950
HMR_4419	EC:1.7.1.7	12009299; 12669231
HMR_4421	EC:2.7.1.40	1009117; 7154942
HMR_4449	EC:3.1.3.5	10899995
HMR_4450	EC:3.1.3.5	10899995
HMR_4451	EC:2.7.1.73	
HMR_4452	EC:2.4.2.8	15178494; 17081813; 7402756
HMR_4453	EC:6.3.4.1	6260205; 6698284; 7559506; 7706277; 8089153
HMR_4480	EC:2.7.4.11; EC:2.7.4.3	11768308
HMR_4481	EC:3.5.4.4	15016824
HMR_4482	EC:3.5.4.4	15016824
HMR_4486	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4487	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4488	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4489	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4492	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4493	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4495	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
